State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
BIHAR,DARBHANGA,ALINAGAR,BLOCK,9504,2845.19,2560.66,1108.44,43.2872775,safe
BIHAR,DARBHANGA,BAHADURPUR,BLOCK,16851,5312.19,4780.97,2375.21,49.68050417,safe
BIHAR,DARBHANGA,BAHERI,BLOCK,21482,6599.42,5939.48,3951.7,66.53276044,safe
BIHAR,DARBHANGA,BENIPUR,BLOCK,16259,4612.67,4358.69,2546.8,58.43039996,safe
BIHAR,DARBHANGA,BIRAUL,BLOCK,18443,5706.07,5135.46,3288.71,64.03924867,safe
BIHAR,DARBHANGA,DARBHANGA,BLOCK,20612,5695.31,5125.79,3141.88,61.29552713,safe
BIHAR,DARBHANGA,GAURA BAURAM,BLOCK,11619,3439.59,3095.62,1547.2,49.98029474,safe
BIHAR,DARBHANGA,GHANSHYAMPUR,BLOCK,10345,4397.76,3957.98,1466.79,37.05905538,safe
BIHAR,DARBHANGA,HANUMAN NAGAR,BLOCK,13979,3985.22,3586.7,1882.16,52.47609223,safe
BIHAR,DARBHANGA,HAYAGHAT,BLOCK,8601,2478.73,2230.85,1257.08,56.34982182,safe
BIHAR,DARBHANGA,JALE,BLOCK,18679,5306.67,4776.01,2183.82,45.72477863,safe
BIHAR,DARBHANGA,KEOTI,BLOCK,15008,5094.53,4585.08,2460.55,53.6642763,safe
BIHAR,DARBHANGA,KIRATPUR,BLOCK,6236,1758.01,1582.21,668.63,42.25924498,safe
BIHAR,DARBHANGA,KUSHESWAR ASTHAN,BLOCK,11659,3188.58,2869.73,1167.12,40.67002819,safe
BIHAR,DARBHANGA,KUSHESWAR ASTHAN EAST,BLOCK,12124,3166.71,2850.03,960.95,33.71718894,safe
BIHAR,DARBHANGA,MANIGACHHI,BLOCK,13620,4301.72,3871.55,2118.35,54.7158115,safe
BIHAR,DARBHANGA,SINGHWARA,BLOCK,17038,5041.91,4537.72,2492.65,54.9317719,safe
BIHAR,DARBHANGA,TARDIH,BLOCK,8370,2510.66,2259.59,1029.46,45.55959267,safe
BIHAR,EAST CHAMPARAN,ADAPUR,BLOCK,15318,8917.04,8025.34,3173.12,39.53876097,safe
BIHAR,EAST CHAMPARAN,ARERAJ,BLOCK,18947,8358.5,7522.65,2135.08,28.38201963,safe
BIHAR,EAST CHAMPARAN,BANJARIYA,BLOCK,13935,5173.71,4656.34,2685.63,57.6768449,safe
BIHAR,EAST CHAMPARAN,BANKATWA,BLOCK,8846,4530.98,4077.88,1799.31,44.1236623,safe
BIHAR,EAST CHAMPARAN,CHAKIA,BLOCK,17335,7808.38,7027.54,3696.56,52.60105243,safe
BIHAR,EAST CHAMPARAN,CHAURADANO,BLOCK,13490,7295,6565.5,2975.19,45.31551291,safe
BIHAR,EAST CHAMPARAN,CHIRAIYA,BLOCK,20533,11074.84,9967.35,2941.16,29.50794344,safe
BIHAR,EAST CHAMPARAN,DHAKA,BLOCK,16906,7886.08,7097.47,3741.75,52.71949018,safe
BIHAR,EAST CHAMPARAN,GHORASAHAN,BLOCK,11901,5909.6,5318.64,3028.03,56.93241129,safe
BIHAR,EAST CHAMPARAN,HARSIDDHI,BLOCK,19010,11549.32,10394.39,4207.94,40.48279889,safe
BIHAR,EAST CHAMPARAN,KALYANPUR,BLOCK,23811,11612.37,10451.14,4777.12,45.70908054,safe
BIHAR,EAST CHAMPARAN,KESARIA,BLOCK,18825,8613.72,7752.35,2291.8,29.56264875,safe
BIHAR,EAST CHAMPARAN,KOTWA,BLOCK,15203,8242.27,7418.04,1535.85,20.70425611,safe
BIHAR,EAST CHAMPARAN,MADHUBAN,BLOCK,12150,4659.08,4193.18,2714.77,64.74251046,safe
BIHAR,EAST CHAMPARAN,MEHSI,BLOCK,12168,5970.67,5373.6,3084.32,57.39764776,safe
BIHAR,EAST CHAMPARAN,MOTIHARI,BLOCK,25158,10277.16,9249.44,4303.44,46.52649241,safe
BIHAR,EAST CHAMPARAN,PAHARPUR,BLOCK,15466,9767.3,8790.57,3110.54,35.38496366,safe
BIHAR,EAST CHAMPARAN,PAKARIDAYAL,BLOCK,11655,5073.92,4566.52,2629.6,57.58433118,safe
BIHAR,EAST CHAMPARAN,PATAHI,BLOCK,11849,5210.9,4851.76,2810.41,57.92557752,safe
BIHAR,EAST CHAMPARAN,PHENHARA,BLOCK,5459,1771.66,1594.49,1048.31,65.74578705,safe
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,BLOCK,4882,2893.43,2604.09,1527.2,58.64620654,safe
BIHAR,EAST CHAMPARAN,RAMGARHWA,BLOCK,16766,7343.68,6609.31,1940.01,29.35268583,safe
BIHAR,EAST CHAMPARAN,RAXAUL,BLOCK,13137,6391.92,5834.16,2323.35,39.82321362,safe
BIHAR,EAST CHAMPARAN,SANGRAMPUR,BLOCK,14766,6922.46,6230.21,2609.62,41.88654957,safe
BIHAR,EAST CHAMPARAN,SUGAULI,BLOCK,16725,8968.6,8071.73,3275.17,40.57581212,safe
BIHAR,EAST CHAMPARAN,TETARIA,BLOCK,8035,2658.5,2392.66,1636.35,68.39041067,safe
BIHAR,EAST CHAMPARAN,TURKAULIYA,BLOCK,13611,7440.72,6696.65,2957.25,44.16013977,safe
BIHAR,GAYA,AMAS,BLOCK,10844,3088.51,2779.66,1371.86,49.35351806,safe
BIHAR,GAYA,ATRI,BLOCK,13002,3248.41,2923.57,1266.44,43.31827184,safe
BIHAR,GAYA,BANKE BAZAR,BLOCK,20718,5242.46,4718.22,1693.28,35.88811035,safe
BIHAR,GAYA,BARACHATTY,BLOCK,26780,6382.25,5744.02,1154.73,20.10316816,safe
BIHAR,GAYA,BELAGANJ,BLOCK,19795,5932.64,5339.38,4459.77,83.52598991,Semi-Critical
BIHAR,GAYA,BODH GAYA,BLOCK,29484,5663.6,5354.75,2042.06,38.13548718,safe
BIHAR,GAYA,DOBHI,BLOCK,17001,4356.62,3920.96,1049.84,26.77507549,safe
BIHAR,GAYA,DUMARIYA,BLOCK,30411,3161.87,2845.68,1026.55,36.0739788,safe
BIHAR,GAYA,FATEHPUR,BLOCK,32914,7666.91,6900.21,1839.69,26.66136248,safe
BIHAR,GAYA,GAYA SADAR,BLOCK,18349,4551.96,4096.76,3203.78,78.20277488,Semi-Critical
BIHAR,GAYA,GURARU,BLOCK,16498,4831.3,4348.16,2399.3,55.1796622,safe
BIHAR,GAYA,GURUA,BLOCK,18941,6350.86,5715.77,2488.21,43.53236747,safe
BIHAR,GAYA,IMAMGANJ,BLOCK,26418,6619.02,5957.12,2118.59,35.56399737,safe
BIHAR,GAYA,KHIZAR SARAI,BLOCK,18456,6244.09,5619.68,4035.88,71.81690061,Semi-Critical
BIHAR,GAYA,KONCH,BLOCK,25559,7924.47,7132.02,3839.8,53.83888436,safe
BIHAR,GAYA,MANPUR,BLOCK,12423,3261.12,2935.01,1966.16,66.98989101,safe
BIHAR,GAYA,MOHANPUR,BLOCK,33629,7729.48,6956.53,1197.16,17.20915456,safe
BIHAR,GAYA,MUHRA,BLOCK,14764,3917.42,3525.68,2092.21,59.34202764,safe
BIHAR,GAYA,NEEMCHAK BATHANI,BLOCK,11848,3281.46,2953.32,1370.47,46.40438557,safe
BIHAR,GAYA,PARAIYA,BLOCK,14190,4401.26,3961.13,2428.06,61.2971551,safe
BIHAR,GAYA,SHERGHATI,BLOCK,13879,3554.61,3199.14,1386.86,43.35102559,safe
BIHAR,GAYA,TANKUPPA,BLOCK,15015,3882.09,3493.88,1871.11,53.55392858,safe
BIHAR,GAYA,TEKARI,BLOCK,23496,7447.59,6702.82,4700.02,70.12003903,Semi-Critical
BIHAR,GAYA,WAZIRGANJ,BLOCK,26564,5618.54,5285.09,3041.44,57.54755359,safe
BIHAR,GOPALGANJ,BAIKUNTHPUR,BLOCK,20408,7482.9,6993.24,4290.78,61.35610961,safe
BIHAR,GOPALGANJ,BARAULI,BLOCK,18432,9105.27,8324.33,3786.67,45.48918652,safe
BIHAR,GOPALGANJ,BHORE,BLOCK,13041,8625.67,7763.1,4641.4,59.7879713,safe
BIHAR,GOPALGANJ,GOPALGANJ,BLOCK,19548,6675.89,6103.55,2553.26,41.83237624,safe
BIHAR,GOPALGANJ,HATHUA,BLOCK,14660,7762.56,6986.3,3946.53,56.48955814,safe
BIHAR,GOPALGANJ,KATEYA,BLOCK,12614,8297.8,7468.02,2742.87,36.72820908,safe
BIHAR,GOPALGANJ,KUCHAIKOT,BLOCK,25136,13035.45,11731.9,5909.06,50.36745966,safe
BIHAR,GOPALGANJ,MANJHA,BLOCK,14146,7280.15,6552.13,3410.45,52.05101242,safe
BIHAR,GOPALGANJ,PANCHDEVARI,BLOCK,9278,5378.91,4841.02,2233.11,46.12891498,safe
BIHAR,GOPALGANJ,PHULWARIA,BLOCK,9550,6436.38,5792.74,2371.56,40.94021137,safe
BIHAR,GOPALGANJ,SIDHWALIA,BLOCK,12012,5767.76,5190.98,1859.38,35.81944065,safe
BIHAR,GOPALGANJ,THAWE,BLOCK,6999,3802.62,3422.35,1507.65,44.05306295,safe
BIHAR,GOPALGANJ,UCHKAGAON,BLOCK,11328,5432.37,4889.12,2793.03,57.12745852,safe
BIHAR,GOPALGANJ,VIJAYIPUR,BLOCK,14761,6393.12,5753.8,3147.64,54.70541208,safe
BIHAR,JAMUI,BARHAT,BLOCK,19293,4870.62,4383.56,444.95,10.15042568,safe
BIHAR,JAMUI,CHAKAI,BLOCK,70131,7658.67,7250.52,1074.36,14.81769583,safe
BIHAR,JAMUI,GIDHAUR,BLOCK,7111,2367.41,2130.67,960.82,45.09473546,safe
BIHAR,JAMUI,ISLAMNAGAR ALIGANJ,BLOCK,17289,4755.2,4279.68,788.74,18.42988261,safe
BIHAR,JAMUI,JAMUI,BLOCK,13390,4989.18,4490.26,2783.31,61.9854975,safe
BIHAR,JAMUI,JHAJHA,BLOCK,34187,4086.71,3854.07,1902.89,49.37351942,safe
BIHAR,JAMUI,KHAIRA,BLOCK,31577,7391.57,6979.5,2364.59,33.87907443,safe
BIHAR,JAMUI,LAXMIPUR,BLOCK,17001,2546.08,2291.47,716.29,31.2589735,safe
BIHAR,JAMUI,SIKANDRA,BLOCK,14562,4734.99,4261.49,1618.67,37.98366299,safe
BIHAR,JAMUI,SONO,BLOCK,30573,3186.49,2867.84,1317.1,45.92655099,safe
BIHAR,JEHANABAD,GHOSHI,BLOCK,9246,3837.27,3453.55,2825.29,81.80828423,Semi-Critical
BIHAR,JEHANABAD,HULASGUNJ,BLOCK,9713,3867.32,3480.59,1948.26,55.97499275,safe
BIHAR,JEHANABAD,JEHANABAD,BLOCK,16252,5195.85,4676.27,3924.65,83.92693322,Semi-Critical
BIHAR,JEHANABAD,KAKO,BLOCK,13253,4867.45,4380.7,4690.98,107.0828863,Over-Exploited
BIHAR,JEHANABAD,MAKHDUMPUR,BLOCK,24370,7838.27,7054.45,4646.8,65.87047892,safe
BIHAR,JEHANABAD,MODANGANJ,BLOCK,7994,2671.59,2404.43,2009.51,83.57531723,Semi-Critical
BIHAR,JEHANABAD,RATNI FARIDPUR,BLOCK,12429,3494.87,3145.38,3462.96,110.0967133,Over-Exploited
BIHAR,KAIMUR,ADHAURA,BLOCK,72249,3111.25,2800.12,637.75,22.77580961,safe
BIHAR,KAIMUR,BHABHUA,BLOCK,33449,13355.35,12019.82,3453.44,28.73121228,safe
BIHAR,KAIMUR,BHAGWANPUR,BLOCK,11026,3622.06,3259.85,1374.2,42.15531389,safe
BIHAR,KAIMUR,CHAINPUR,BLOCK,41327,11587.94,10429.14,1898.94,18.20802099,safe
BIHAR,KAIMUR,CHAND,BLOCK,20670,5824.83,5242.35,1212.61,23.13103856,safe
BIHAR,KAIMUR,DURGAWATI,BLOCK,16764,6003.66,5403.29,2843.79,52.63071203,safe
BIHAR,KAIMUR,KUDRA,BLOCK,21054,7579.5,6906.08,5309.72,76.88471608,Semi-Critical
BIHAR,KAIMUR,MOHANIA,BLOCK,28552,9130.19,8217.17,3792.72,46.15603669,safe
BIHAR,KAIMUR,NUAON,BLOCK,18900,8997.31,8097.58,2538.08,31.3436854,safe
BIHAR,KAIMUR,RAMGARH,BLOCK,16852,5906.19,5315.57,2877.87,54.14038382,safe
BIHAR,KAIMUR,RAMPUR,BLOCK,17197,4900.46,4410.41,1313.53,29.78249188,safe
BIHAR,KATIHAR,AMDABAD,BLOCK,18863,6386.11,5747.5,2105.01,36.62479339,safe
BIHAR,KATIHAR,AZAMNAGAR,BLOCK,29077,12165.44,10948.9,7374.76,67.35617277,safe
BIHAR,KATIHAR,BALRAMPUR,BLOCK,17428,7305.91,6575.31,4489.29,68.27495586,safe
BIHAR,KATIHAR,BARARI,BLOCK,32780,10745.85,10147.4,5736.15,56.52827325,safe
BIHAR,KATIHAR,BARSOI,BLOCK,27914,10448.12,9403.31,5697.1,60.58611276,safe
BIHAR,KATIHAR,DANDKHORA,BLOCK,8921,3382.84,3044.56,1954.53,64.19745382,safe
BIHAR,KATIHAR,FALKA,BLOCK,16948,10488.46,9439.62,3051.48,32.32630127,safe
BIHAR,KATIHAR,HASANGANJ,BLOCK,7111,3388.58,3049.72,1772.66,58.1253361,safe
BIHAR,KATIHAR,KADWA,BLOCK,33992,12511.27,11260.14,7038.42,62.50739334,safe
BIHAR,KATIHAR,KATIHAR,BLOCK,11005,5400.75,4860.67,2780.89,57.21207159,safe
BIHAR,KATIHAR,KORHA,BLOCK,29848,18400.58,16560.53,5940.75,35.8729461,safe
BIHAR,KATIHAR,KURSELA,BLOCK,6106,2200.18,1980.16,1124.49,56.78783533,safe
BIHAR,KATIHAR,MANIHARI,BLOCK,25012,8727.62,7854.87,3711.47,47.25055921,safe
BIHAR,KATIHAR,MANSAHI,BLOCK,7814,3444.18,3099.76,1772.82,57.19216972,safe
BIHAR,KATIHAR,PRANPUR,BLOCK,15306,5937.1,5343.4,3383.62,63.32335217,safe
BIHAR,KATIHAR,SAMELI,BLOCK,12866,5446.41,5093.89,2955.25,58.01558338,safe
BIHAR,KHAGARIA,ALAULI,BLOCK,27447,8805.48,7924.93,4086.32,51.56285292,safe
BIHAR,KHAGARIA,BELDAUR,BLOCK,22356,7290.39,6561.35,3691.27,56.25778232,safe
BIHAR,KHAGARIA,CHAUTHAM,BLOCK,16397,5429.65,4886.69,3003,61.45263972,safe
BIHAR,KHAGARIA,GOGRI,BLOCK,25031,8158.51,7342.66,4220.44,57.47835253,safe
BIHAR,KHAGARIA,KHAGARIA,BLOCK,26236,8589.57,7730.61,4995.5,64.61973893,safe
BIHAR,KHAGARIA,MANSI,BLOCK,7001,2321.97,2089.77,1165.55,55.7740804,safe
BIHAR,KHAGARIA,PARBATTA,BLOCK,24104,8045.63,7241.07,4893.64,67.5817248,safe
BIHAR,KISHANGANJ,BAHADURGANJ,BLOCK,24787,8680.62,8243.43,3879.32,47.05953711,safe
BIHAR,KISHANGANJ,DIGHALBANK,BLOCK,25532,9663.19,9179.59,3415.42,37.20667263,safe
BIHAR,KISHANGANJ,KISHANGANJ,BLOCK,18103,8034.03,7631.26,2473,32.40618194,safe
BIHAR,KISHANGANJ,KOCHADHAMAN,BLOCK,28691,11744.01,11154.85,5973.9,53.55428356,safe
BIHAR,KISHANGANJ,POTHIA,BLOCK,35445,11538.27,10384.44,3301.69,31.79458883,safe
BIHAR,KISHANGANJ,TERHAGACHH,BLOCK,19347,6333.55,5700.2,1841.32,32.30272622,safe
BIHAR,KISHANGANJ,THAKURGANJ,BLOCK,39238,18153.82,16338.43,4084.83,25.00136182,safe
BIHAR,LAKHISARAI,BARAHIA,BLOCK,24106,7966.96,7170.26,1676.61,23.3828341,safe
BIHAR,LAKHISARAI,CHANNAN,BLOCK,10968,2396.43,2240.1,1083.83,48.3831079,safe
BIHAR,LAKHISARAI,HALSI,BLOCK,13419,6237,5613.29,2566.42,45.72042421,safe
BIHAR,LAKHISARAI,LAKHISARAI,BLOCK,17362,7108.01,6538.97,3849.03,58.86294019,safe
BIHAR,LAKHISARAI,PIPARIA,BLOCK,5839,1686.21,1517.58,708.84,46.7085755,safe
BIHAR,LAKHISARAI,RAMGARH CHOWK,BLOCK,9255,5196.62,4676.96,1709.94,36.56092847,safe
BIHAR,LAKHISARAI,SURAJGARHA,BLOCK,33545,11031.54,9928.39,2208.6,22.24529858,safe
BIHAR,MADHEPURA,ALAMNAGAR,BLOCK,17120,7568.31,6811.47,2982.34,43.78408772,safe
BIHAR,MADHEPURA,BIHARIGANJ,BLOCK,10568,6312.29,5681.06,2141.75,37.69983067,safe
BIHAR,MADHEPURA,CHAUSA,BLOCK,13665,6278.45,5650.6,3548,62.78979223,safe
BIHAR,MADHEPURA,GAMHARIA,BLOCK,7655,3432.76,3089.49,1764.94,57.12722812,safe
BIHAR,MADHEPURA,GHELADH,BLOCK,9177,5912.5,5321.24,1631.74,30.66465711,safe
BIHAR,MADHEPURA,GWALPARA,BLOCK,11668,6375.59,5738.03,2709.78,47.22491866,safe
BIHAR,MADHEPURA,KUMARKHAND,BLOCK,24709,16522.29,14870.06,6147.43,41.34098988,safe
BIHAR,MADHEPURA,MADHEPURA,BLOCK,18995,11172.05,10054.85,2954.98,29.38860351,safe
BIHAR,MADHEPURA,MURLIGANJ,BLOCK,19745,13284.85,11956.36,4525.3,37.84847562,safe
BIHAR,MADHEPURA,PURAINI,BLOCK,8698,5055.52,4549.96,1855.43,40.77903982,safe
BIHAR,MADHEPURA,SHANKARPUR,BLOCK,10858,7314.37,6582.94,2161.2,32.83031594,safe
BIHAR,MADHEPURA,SIGHESHWARSTHAN,BLOCK,11113,7751.33,6976.19,2843.14,40.75491063,safe
BIHAR,MADHEPURA,UDA KISHANGANJ,BLOCK,14869,8833.65,7950.28,3771.81,47.44248001,safe
BIHAR,MADHUBANI,ANDHARATHARI,BLOCK,14810,5321.09,4788.98,1240.93,25.91219842,safe
BIHAR,MADHUBANI,BABUBARHI,BLOCK,18914,7233.84,6510.46,1891.79,29.05770099,safe
BIHAR,MADHUBANI,BASOPATTI,BLOCK,13078,5518.17,4966.36,2682.19,54.00716017,safe
BIHAR,MADHUBANI,BENIPATTI,BLOCK,26238,7571.65,6814.49,3394.29,49.8098904,safe
BIHAR,MADHUBANI,BISFI,BLOCK,18122,6354.74,5719.26,3754.86,65.65289915,safe
BIHAR,MADHUBANI,GHOGHARDIHA,BLOCK,16438,6188.34,5569.5,2821.03,50.65140497,safe
BIHAR,MADHUBANI,HARLAKHI,BLOCK,14792,5356.92,4969.82,2316.15,46.60430358,safe
BIHAR,MADHUBANI,JAINAGAR,BLOCK,12922,5627.35,5064.62,1825.25,36.039229,safe
BIHAR,MADHUBANI,JHANJHARPUR,BLOCK,14594,5522.81,4970.53,2193.85,44.13714433,safe
BIHAR,MADHUBANI,KALUAHI,BLOCK,8895,3674.9,3410.55,1388.3,40.70604448,safe
BIHAR,MADHUBANI,KHAJAULI,BLOCK,11415,6525.3,5872.76,3357.07,57.16341209,safe
BIHAR,MADHUBANI,KHUTAUNA,BLOCK,21521,8684.32,7815.88,1463.44,18.72393128,safe
BIHAR,MADHUBANI,LADANIA,BLOCK,18385,6740.61,6066.55,3613.97,59.57207968,safe
BIHAR,MADHUBANI,LAKHANAUR,BLOCK,11748,4781.58,4303.42,1781.35,41.39382166,safe
BIHAR,MADHUBANI,LAUKAHI,BLOCK,26634,13457.4,12111.66,2890.48,23.86526702,safe
BIHAR,MADHUBANI,MADHEPUR,BLOCK,23572,5710.91,5139.82,1898.86,36.94409532,safe
BIHAR,MADHUBANI,MADHWAPUR,BLOCK,10833,3765.6,3389.04,2201.22,64.95113661,safe
BIHAR,MADHUBANI,PANDAUL,BLOCK,16398,6892.95,6203.64,3149.54,50.76922581,safe
BIHAR,MADHUBANI,PHULPARAS,BLOCK,15971,7853.32,7067.99,2280.64,32.26716506,safe
BIHAR,MADHUBANI,RAHIKA,BLOCK,15473,6767.09,6090.38,2080.36,34.15813135,safe
BIHAR,MADHUBANI,RAJNAGAR,BLOCK,17892,7598.17,6838.35,4009.97,58.63943788,safe
BIHAR,MUNGER,ASARGANJ,BLOCK,5948,2346.85,2112.16,711.49,33.68542156,safe
BIHAR,MUNGER,BARIYARPUR,BLOCK,16052,4000.78,3600.7,1447.93,40.21245869,safe
BIHAR,MUNGER,DHARAHARA,BLOCK,25692,7044.72,6340.24,989.1,15.60035582,safe
BIHAR,MUNGER,HAVELI KHARAGPUR,BLOCK,26864,7205.09,6484.58,1978.27,30.50729577,safe
BIHAR,MUNGER,JAMALPUR,BLOCK,8545,3502.02,3151.82,1360.96,43.18013085,safe
BIHAR,MUNGER,MUNGER SADAR,BLOCK,24205,6034.35,5430.92,1418.93,26.1268809,safe
BIHAR,MUNGER,SANGRAMPUR,BLOCK,8594,2671.7,2404.53,1012.88,42.12382461,safe
BIHAR,MUNGER,TARAPURA,BLOCK,7104,3037.83,2734.05,1336.79,48.89413142,safe
BIHAR,MUNGER,TETIYABAMBAR,BLOCK,10138,2895.09,2605.58,865.54,33.21870754,safe
BIHAR,MUZAFFARPUR,AURAI,BLOCK,19477,6379.72,5741.75,3732.41,65.00474594,safe
BIHAR,MUZAFFARPUR,BANDRA,BLOCK,11049,3583.71,3225.34,2352.94,72.95168881,Semi-Critical
BIHAR,MUZAFFARPUR,BOCHAHAN,BLOCK,16136,5743.92,5208.32,4193.62,80.51771013,Semi-Critical
BIHAR,MUZAFFARPUR,GAIGHAT,BLOCK,21020,6768.9,6092.01,4389.65,72.05585677,Semi-Critical
BIHAR,MUZAFFARPUR,KANTI,BLOCK,16816,8236.38,7412.75,5411.96,73.0088024,Semi-Critical
BIHAR,MUZAFFARPUR,KATRA,BLOCK,18915,5924.06,5331.65,3283.29,61.58112404,safe
BIHAR,MUZAFFARPUR,KURHANI,BLOCK,26025,10974.56,9877.1,7438.36,75.30914945,Semi-Critical
BIHAR,MUZAFFARPUR,MARWAN,BLOCK,11514,5667.6,5100.84,3064.23,60.07304679,safe
BIHAR,MUZAFFARPUR,MINAPUR,BLOCK,23658,6685.21,6332.21,6044.3,95.45324618,Critical
BIHAR,MUZAFFARPUR,MOTIPUR,BLOCK,31356,14167.27,12750.54,6801.34,53.34158396,safe
BIHAR,MUZAFFARPUR,MURAUL (DHOLI),BLOCK,6263,2285.84,2057.25,1599.19,77.73435411,Semi-Critical
BIHAR,MUZAFFARPUR,MUSHAHARI,BLOCK,11997,4438.06,3994.26,4631.24,115.9473845,Over-Exploited
BIHAR,MUZAFFARPUR,PAROO,BLOCK,29152,12612.82,11351.54,5227.08,46.04732045,safe
BIHAR,MUZAFFARPUR,SAHEBGANJ,BLOCK,18723,8325.13,7492.61,4286.55,57.21037129,safe
BIHAR,MUZAFFARPUR,SAKRA,BLOCK,17492,5838.33,5254.5,4432.82,84.36235608,Semi-Critical
BIHAR,MUZAFFARPUR,SARAIYA,BLOCK,24684,10748.85,9673.97,5135.17,53.08234365,safe
BIHAR,NALANDA,ASTHAWAN,BLOCK,14145,3412.13,3070.91,2349.66,76.51347646,Semi-Critical
BIHAR,NALANDA,BEN,BLOCK,10083,1920.03,1728.02,1096.43,63.45007581,safe
BIHAR,NALANDA,BIHARSHARIF,BLOCK,17495,4501.56,4051.4,2613.43,64.50683714,safe
BIHAR,NALANDA,BIND,BLOCK,7260,2149.24,1934.31,1452.58,75.09551209,Semi-Critical
BIHAR,NALANDA,CHANDI,BLOCK,13109,3335.56,3002,2235.45,74.46535643,Semi-Critical
BIHAR,NALANDA,EKANGARSARAI,BLOCK,13443,4168.12,3751.31,3168.74,84.47022507,Semi-Critical
BIHAR,NALANDA,GIRIYAK,BLOCK,8093,2683.19,2414.86,2270.79,94.03402268,Critical
BIHAR,NALANDA,HARNAUT,BLOCK,18158,4676.59,4208.93,3040.75,72.24520246,Semi-Critical
BIHAR,NALANDA,HILSA,BLOCK,14424,4516.01,4111.32,3592.4,87.37826294,Semi-Critical
BIHAR,NALANDA,ISLAMPUR,BLOCK,22211,6271.11,5643.99,3459.27,61.29121419,safe
BIHAR,NALANDA,KARAI PARSARAI,BLOCK,6476,1764.07,1587.65,1390.83,87.60306113,Semi-Critical
BIHAR,NALANDA,KATRISARAI,BLOCK,4227,1404.2,1263.78,711.88,56.32942443,safe
BIHAR,NALANDA,NAGARNAUSA,BLOCK,7530,2472.04,2224.83,3518.1,158.1289357,Over-Exploited
BIHAR,NALANDA,NOORSARAI,BLOCK,12485,2081.88,1873.69,1219.2,65.06946186,safe
BIHAR,NALANDA,PARWALPUR,BLOCK,6301,1639.13,1475.21,1055.02,71.51659764,Semi-Critical
BIHAR,NALANDA,RAHUI,BLOCK,12168,3011.27,2710.14,1595.84,58.88404289,safe
BIHAR,NALANDA,RAJGIR,BLOCK,12957,3932.94,3539.63,2590,73.17148968,Semi-Critical
BIHAR,NALANDA,SARMERA,BLOCK,12372,2717.62,2581.23,1919.79,74.37500726,Semi-Critical
BIHAR,NALANDA,SILAO,BLOCK,12435,3654.91,3289.41,2026.71,61.61317683,safe
BIHAR,NALANDA,THARTHARI,BLOCK,6274,1581.59,1423.43,968.32,68.02723,safe
BIHAR,NAWADA,AKBARPUR,BLOCK,19801,5869.5,5282.54,4455.31,84.34029842,Semi-Critical
BIHAR,NAWADA,GOVINDPUR,BLOCK,15353,4195.19,3775.67,1004.72,26.61037644,safe
BIHAR,NAWADA,HISUA,BLOCK,12270,3680.66,3312.59,2867.95,86.57727035,Semi-Critical
BIHAR,NAWADA,KASHICHAK,BLOCK,8202,2494.27,2244.84,758.75,33.79973628,safe
BIHAR,NAWADA,KAWAKOLE,BLOCK,28722,7664.41,6897.97,1642.05,23.80482954,safe
BIHAR,NAWADA,MESKAUR,BLOCK,12183,1198.3,1078.47,882.1,81.79179764,Semi-Critical
BIHAR,NAWADA,NARDIGANJ,BLOCK,10189,2998.92,2699.03,2362.22,87.52107239,Semi-Critical
BIHAR,NAWADA,NARHAT,BLOCK,7639,2450.9,2205.8,1775.56,80.49505848,Semi-Critical
BIHAR,NAWADA,NAWADA,BLOCK,17808,5734.99,5161.49,3246.19,62.8924981,safe
BIHAR,NAWADA,PAKARIBARAWAN,BLOCK,20101,6124.85,5512.37,2028.59,36.80068646,safe
BIHAR,NAWADA,RAJAULI,BLOCK,36207,10030.58,9457.5,2837.88,30.00666138,safe
BIHAR,NAWADA,ROH,BLOCK,16402,4967.75,4470.97,2324.56,51.99229697,safe
BIHAR,NAWADA,SIRDALA,BLOCK,24685,5254.46,4729.02,1623.94,34.33988437,safe
BIHAR,NAWADA,WARISALIGANJ,BLOCK,16096,5452.02,4906.81,2653.65,54.08096095,safe
BIHAR,PATNA,ATHMALGOLA,BLOCK,4025,1255.67,1130.1,995.28,88.07008229,Semi-Critical
BIHAR,PATNA,BAKHTIYARPUR,BLOCK,19683,5427.49,4884.74,2379.94,48.72193812,safe
BIHAR,PATNA,BARH,BLOCK,10959,3159.07,2843.17,1831.93,64.43265791,safe
BIHAR,PATNA,BELCHHIA,BLOCK,6867,1926.1,1733.5,737.75,42.55840785,safe
BIHAR,PATNA,BIHTA,BLOCK,19392,7682.1,6913.89,4189.27,60.59208347,safe
BIHAR,PATNA,BIKRAM,BLOCK,14815,7716.82,7180.34,2869.24,39.95966765,safe
BIHAR,PATNA,DANAPUR,BLOCK,12446,3661.76,3295.59,2041.13,61.93519218,safe
BIHAR,PATNA,DANIYAWAN,BLOCK,6510,1968.87,1771.98,1156.23,65.25073646,safe
BIHAR,PATNA,DHANARUA,BLOCK,18555,6004.01,5403.61,4696.6,86.91596914,Semi-Critical
BIHAR,PATNA,DULHIN BAZAR,BLOCK,11068,4016,3614.4,1557.77,43.09899292,safe
