State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,MANDAL,14098.3708,0,0,0,0,Saline
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,MANDAL,13946.4667,962.79,914.64,310.24,33.91935625,safe
ANDHRA PRADESH,GUNTUR,PONNUR,MANDAL,18815.3421,4396.46,4176.59,1451.43,34.75155569,safe
ANDHRA PRADESH,GUNTUR,PRATHIPADU,MANDAL,12288.513,540.26,513.25,80.65,15.71358987,safe
ANDHRA PRADESH,GUNTUR,TADIKONDA,MANDAL,19215.8214,1296.16,1231.33,146.81,11.92288014,safe
ANDHRA PRADESH,GUNTUR,TENALI,MANDAL,13181.0546,12732.06,12095.46,1342.22,11.0968909,safe
ANDHRA PRADESH,GUNTUR,THADEPALLE,MANDAL,6666.9375,3526.04,3349.74,1025.08,30.60177805,safe
ANDHRA PRADESH,GUNTUR,THULLUR,MANDAL,18966.0405,1410.5,1339.99,176.45,13.16800872,safe
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,MANDAL,11649.2895,0,0,0,0,Saline
ANDHRA PRADESH,KAKINADA,GANDEPALLE,MANDAL,16230.35,3120.96,2964.91,1772.45,59.78090397,safe
ANDHRA PRADESH,KAKINADA,GOLLAPROLU,MANDAL,12062.74,5063.34,4810.16,849.03,17.65076422,safe
ANDHRA PRADESH,KAKINADA,JAGGAMPETA,MANDAL,14896.818,5655.19,5372.46,953.82,17.75387811,safe
ANDHRA PRADESH,KAKINADA,KAJULURU,MANDAL,11521.03,469.97,446.47,0,0,safe
ANDHRA PRADESH,KAKINADA,KAKINADA (RURAL),MANDAL,7421.47,3985.82,3786.53,279.87,7.391199858,safe
ANDHRA PRADESH,KAKINADA,KAKINADA (URBAN),MANDAL,3195,748.92,748.92,495.46,66.15659884,safe
ANDHRA PRADESH,KAKINADA,KARAPA,MANDAL,10403.00003,0,0,0,0,Saline
ANDHRA PRADESH,KAKINADA,KIRLAMPUDI,MANDAL,8709.24,6978.32,6629.38,1115.78,16.83083486,safe
ANDHRA PRADESH,KAKINADA,KOTANANDURU,MANDAL,10998,4131.58,3924.97,544.89,13.88265388,safe
ANDHRA PRADESH,KAKINADA,KOTHAPALLEE,MANDAL,11543.03,6049.12,5746.63,449.69,7.825281948,safe
ANDHRA PRADESH,KAKINADA,PEDAPUDI,MANDAL,10662,11720.63,11134.63,1002.8,9.00613671,safe
ANDHRA PRADESH,KAKINADA,PEDDAPURAM,MANDAL,14474.71,6384.1,6064.9,1677.72,27.66278092,safe
ANDHRA PRADESH,KAKINADA,PITHAPURAM,MANDAL,12524.108,7473.78,7100.14,819.73,11.5452653,safe
ANDHRA PRADESH,KAKINADA,PRATHIPADU (EAST GODAVARI),MANDAL,16945,5376.55,5107.73,892.95,17.48232581,safe
ANDHRA PRADESH,KAKINADA,ROUTHULAPUDI,MANDAL,15791.99,4623.07,4391.88,772.36,17.58609069,safe
ANDHRA PRADESH,KAKINADA,SAMALKOTA,MANDAL,14875.896,10212.15,9701.54,1133.87,11.6875259,safe
ANDHRA PRADESH,KAKINADA,SANKHAVARAM,MANDAL,11019.07,2534.86,2408.11,418.5,17.37877423,safe
ANDHRA PRADESH,KAKINADA,THALLAREVU,MANDAL,41475,0,0,0,0,Saline
ANDHRA PRADESH,KAKINADA,THONDANGI,MANDAL,16215.27,6044.15,5741.93,1267.71,22.07811659,safe
ANDHRA PRADESH,KAKINADA,TUNI,MANDAL,16171.37,8472.83,8049.2,1259.35,15.64565423,safe
ANDHRA PRADESH,KAKINADA,YELESWARAM,MANDAL,10989.08,3525.94,3349.62,1417.52,42.3188302,safe
ANDHRA PRADESH,KONASEEMA,AINAVILLI,MANDAL,9341.52,7006.2,6655.89,1325.42,19.91349016,safe
ANDHRA PRADESH,KONASEEMA,ALAMURU,MANDAL,7838.07,7361.18,6993.1,1555.7,22.24621413,safe
ANDHRA PRADESH,KONASEEMA,ALLAVARAM,MANDAL,10492,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,AMALAPURAM,MANDAL,8057.39,5330.48,5063.94,987.42,19.4990462,safe
ANDHRA PRADESH,KONASEEMA,AMBAJIPETA,MANDAL,5395.25,3216.27,3055.46,966.83,31.64269864,safe
ANDHRA PRADESH,KONASEEMA,ATREYAPURAM,MANDAL,8597.14,9780.58,9291.57,2320.7,24.97640334,safe
ANDHRA PRADESH,KONASEEMA,I POLAVARAM,MANDAL,12941.97,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,KAPILESWARAPURAM,MANDAL,10656.87,11216.36,10655.52,775.67,7.279513341,safe
ANDHRA PRADESH,KONASEEMA,KATRENIKONA,MANDAL,13815.992,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,KOTHAPETA,MANDAL,7956.46,6362.86,6044.7,1360.32,22.50434265,safe
ANDHRA PRADESH,KONASEEMA,MALIKIPURAM,MANDAL,8942.13,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,MAMIDIKUDURU,MANDAL,7969.98,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,MANDAPETA,MANDAL,10994,12442.19,11820.09,2217.6,18.76127847,safe
ANDHRA PRADESH,KONASEEMA,MUMMIDIVARAM,MANDAL,9570.99996,6137.74,5830.83,358.89,6.155041392,safe
ANDHRA PRADESH,KONASEEMA,P GANNAVARAM,MANDAL,8353.9096,6365.13,6046.9,642.65,10.62775968,safe
ANDHRA PRADESH,KONASEEMA,PAMARRU (EAST GODAVARI),MANDAL,11705,8322.71,7906.58,855.64,10.82187242,safe
ANDHRA PRADESH,KONASEEMA,RAMACHANDRAPURAM,MANDAL,10668.90008,10238.61,9726.69,1124.51,11.56107576,safe
ANDHRA PRADESH,KONASEEMA,RAVULAPALEM,MANDAL,7254,7135.16,6778.37,1418.51,20.92700753,safe
ANDHRA PRADESH,KONASEEMA,RAYAVARAM,MANDAL,7904,7900.29,7505.3,1002.84,13.36175769,safe
ANDHRA PRADESH,KONASEEMA,RAZOLE,MANDAL,7713.7,4548.04,4320.67,367.71,8.510485642,safe
ANDHRA PRADESH,KONASEEMA,SAKHINETIPALLE,MANDAL,10071,0,0,0,0,Saline
ANDHRA PRADESH,KONASEEMA,UPPALAGUPTAM,MANDAL,11755,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,AVANIGADA,MANDAL,7526,6546.57,6219.25,834.51,13.41817743,safe
ANDHRA PRADESH,KRISHNA,BANTUMILLI,MANDAL,12530,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,BAPULAPAD,MANDAL,22654,9628.22,9146.79,4140.27,45.26473222,safe
ANDHRA PRADESH,KRISHNA,CHALLAPALLE,MANDAL,9152,11878.13,11284.22,2858.71,25.33369608,safe
ANDHRA PRADESH,KRISHNA,GANNAVARAM,MANDAL,18806,8244.06,7831.87,1620.85,20.69556824,safe
ANDHRA PRADESH,KRISHNA,GHANTASALA,MANDAL,11854,12854.33,12211.61,3068.45,25.12731736,safe
ANDHRA PRADESH,KRISHNA,GUDIVADA,MANDAL,11961,12818.83,12177.9,1601.02,13.14693009,safe
ANDHRA PRADESH,KRISHNA,GUDLAVALLERU,MANDAL,12464,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,GUDUR (KRISHNA),MANDAL,12922,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,KANKIPADU,MANDAL,10407,20178.92,19169.94,5680.38,29.63170464,safe
ANDHRA PRADESH,KRISHNA,KODURU,MANDAL,20128,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,KRUTHIVENNU,MANDAL,18932,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,MACHILIPATNAM,MANDAL,46105,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,MOPIDEVI,MANDAL,8681,10396.78,9876.93,2561.55,25.93467808,safe
ANDHRA PRADESH,KRISHNA,MOVVA,MANDAL,14429,17174.74,16315.98,3069.78,18.81456094,safe
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,MANDAL,39780,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,NANDIVADA,MANDAL,16605,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,PAMARRU,MANDAL,12324,19469.33,18495.86,2083.43,11.26430455,safe
ANDHRA PRADESH,KRISHNA,PAMIDIMUKKALA,MANDAL,11222,14734.27,13997.55,6201.82,44.30646792,safe
ANDHRA PRADESH,KRISHNA,PEDANA,MANDAL,15084,0,0,0,0,Saline
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,MANDAL,9629,16033.15,15231.48,3122.35,20.49932114,safe
ANDHRA PRADESH,KRISHNA,PENAMALURU,MANDAL,8113,5938.36,5641.41,2272.34,40.2796464,safe
